topic,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
Gesundheit,0.406463003601198,0.29370501750952677,-0.4610852654857413,0.2501405818421879,3.0
Industrie,-0.24831723659570432,0.2086615801563966,-0.3804090568654912,0.8556087012296971,2.0
Klimawandel,-0.2581398606729573,0.8019569599175538,-0.38631205828539183,0.531348661324358,10.0
Oekologie,2.1086836931992066,1.0,-0.9854157715472247,1.0,1.0
Verkehrswende,0.06902960623205014,0.9139414235011517,0.09020558221318449,0.9964982066938086,112.0
Waermewende,-1.1712718225721457,1.2829876859727019,-0.11197247787814396,0.7260205740575657,4.0
Wasserversorgung,-0.4271369139098721,0.3959371833584697,0.7278963750118632,0.029400925543989376,2.0
