day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2026-07-26,0.3032113308378801,1.4928786731702135,0.8488746876271656,0.3429971702850177,2.0
2026-07-28,-0.2417390446783491,1.0,-0.5845039626516796,1.0,1.0
2026-07-29,-0.7524133024495534,1.0,-0.8488746876271654,1.0,1.0
2026-08-03,0.23030071199035204,0.0,-0.4865750111723144,0.0,3.0
2026-08-04,0.40440311888053165,0.30155421445382097,-0.48075978993753293,0.010072258635894844,3.0
2026-08-05,-1.1925030357710176,0.9244892916874239,0.15521945861868214,1.2574849009465727,4.0
2026-08-06,-0.355848412356447,0.7987260966601251,0.7053657636854308,1.211853905105009,13.0
2026-08-07,-0.352261237142313,0.9471921390980523,-0.4474116508180887,0.05538535536105074,2.0
2026-08-08,-0.6590713082174122,1.1549063927174477,1.803048123187551,1.3980488021750812,4.0
2026-08-09,-0.36225865791141115,0.3041854738223327,0.9516932536082152,0.28709565538373655,2.0
2026-08-10,0.09044595047457327,1.0345673704215177,0.029770632189603335,1.0114714658411716,6.0
2026-08-11,0.15605275242714717,0.459157046738092,0.36233521115461664,1.115738861379025,15.0
2026-08-12,-0.08278127145352032,0.6261639668877447,-0.13098867667803604,0.7111726689885567,4.0
2026-08-13,-0.2581659292456178,0.7343811444109192,-0.4945675631028767,0.05181465216794868,4.0
2026-08-14,-0.01513837065916765,1.019959733133708,-0.3338198702122884,0.42167647877341774,8.0
2026-08-15,0.020917237806448986,0.6091477723846183,-0.48357748132343276,0.05025432126915124,5.0
2026-08-16,-0.08565831732059712,0.6451177581586022,-0.25576602624524664,0.5047279599121774,4.0
2026-08-17,0.6577750317944238,1.1716736139086736,-0.12488728464476355,1.1634711570709444,5.0
2026-08-18,0.023604139110862454,0.292313096662213,-0.5182445469043361,0.04478748694628442,2.0
2026-08-19,0.7232990606817927,0.958296665623165,-0.5024097790383253,0.031669535732021706,4.0
2026-08-20,0.30321990779556535,1.8787000931898468,0.15846131760634197,0.8917140767406789,8.0
2026-08-21,-0.060971978008441494,1.417485258130912,-0.13970821231321964,0.6144277488140697,5.0
2026-08-22,0.25373142072524973,1.00113081604193,0.04791386189832242,1.0660763771521393,4.0
2026-08-23,0.12022707373961959,1.0,2.2082097898955335,1.0,1.0
2026-08-24,0.1752638928649858,0.07783381603696785,-0.5883202852573343,0.1438895465184029,2.0
2026-08-25,0.3920551558774272,1.0,-0.46912934746797014,1.0,1.0
2026-08-26,0.11844687020314312,0.0025175879850695684,-0.10350983390135317,0.14638501094228,2.0
2026-08-27,-0.13509722148187564,1.1910563228585902,-0.5968408961794309,0.15593951004413634,2.0
2026-08-28,0.4669187463242814,1.0,-0.408248290463863,1.0,1.0
2026-08-29,0.4054006107016988,0.7158350654569349,-0.8377406654447894,0.2088441378749498,2.0
2026-08-31,-0.35604038122035203,0.7918290268485144,-0.4250362374367234,0.5524455733407494,9.0
2026-09-01,0.2763039950001736,0.5722417689328482,-0.10696849092839707,1.1393858910456593,3.0
2026-09-03,0.019276186669239484,1.2228014984070883,-0.3338362810283638,0.14882401887099836,4.0
2026-09-04,1.7502157836032888,0.956555929203062,-0.46912934746797014,1.0,2.0
2026-09-05,-0.10077121829401595,1.0,-0.9854157715472247,1.0,1.0
2026-09-07,-0.19793162744869636,0.2799175919605252,0.21229882890812116,0.017393170643171207,2.0
2026-09-08,-0.8516571651045138,1.0,,1.0,1.0
2026-09-09,-0.06999999999999999,1.0,0.1,1.0,1.0
