0,1,2,3,4,word,summary
4183.944571581634,0.5092770164440961,-0.00645428519034974,-0.012724677023571829,-2.710505431213761e-20,summaryOfAllWords,3116.066244373053
26.639839415412652,-26.75394067651549,2.414997674431997,5.173989095153701,1.782157321023048e-18,Verkehrswende,42.86683961449951
2.001377384904476,-5.058207195491354,-0.42265640426130857,0.39968116390753716,1.4907779871675686e-19,Das,9.625221053782301
-1.639139097963107,-1.5919097584524837,-0.6103254201790799,0.34500641996276904,3.3881317890172014e-20,verkehr+s+wende der,4.698186418568769
-0.8626625737820675,-2.241905774315706,-0.8516395558008972,0.8944633370560089,1.2197274440461925e-19,Münchens,5.763158670770744
-2.0149214696620215,-1.215225498978585,-0.6153705418638016,0.4057518059385089,3.3881317890172014e-20,der münchen+s,4.1918641192483355
-2.2429298050337736,-0.9835348816539677,-0.6179248364208252,0.45878298420842845,4.0657581468206416e-20,größte,3.8857919697115593
-2.2429298050337736,-0.9835348816539677,-0.6179248364208252,0.45878298420842845,4.0657581468206416e-20,münchen+s groß,3.8857919697115593
-2.368238380178478,-0.8549106687764803,-0.6200080573464477,0.496060116641895,4.0657581468206416e-20,Baustellen,3.718230667698602
-2.368238380178478,-0.8549106687764803,-0.6200080573464477,0.496060116641895,4.0657581468206416e-20,groß bau+stelle+n,3.718230667698602
-2.511431842908594,-0.7064446468543286,-0.6244762497401077,0.5499411455028329,4.743384504624082e-20,Weniger,3.527722173687995
-2.511431842908594,-0.7064446468543286,-0.6244762497401077,0.5499411455028329,4.743384504624082e-20,bau+stelle+n wenig+er,3.527722173687995
-1.8438059013665375,-1.333886342263709,-0.7497327391413153,0.6946665088663122,7.453889935837843e-20,Autos,4.433773678837621
-2.5882420356644564,-0.6259119600891068,-0.62896532338076,0.5868216496740839,5.421010862427522e-20,wenig+er auto+s,3.426245389727256
2.1937662905015998,-5.208291352545758,-0.4548996925814892,0.5240800362544734,1.6940658945086007e-19,mehr,9.883019177112603
-2.641975107278587,-0.5690272719179528,-0.6338999560363556,0.6182135816030496,5.421010862427522e-20,auto+s mehr,3.355770228052164
-2.6740771923689755,-0.534733320044217,-0.6380655009898236,0.6404026924123023,6.098637220230962e-20,Platz,3.3139855873896975
-2.6740771923689755,-0.534733320044217,-0.6380655009898236,0.6404026924123023,6.098637220230962e-20,mehr platz,3.3139855873896975
-2.724968521213686,-0.4795896431058284,-0.6482223988921021,0.6848804273947151,6.098637220230962e-20,Radler,3.2486193504683993
-2.724968521213686,-0.4795896431058284,-0.6482223988921021,0.6848804273947151,6.098637220230962e-20,platz radler,3.2486193504683993
-1.9039421108486039,-1.2646865025058234,-0.7835268060136158,0.7839991434604239,8.809142651444724e-20,Fußgänger,4.358518189298592
-2.7625413818420297,-0.4374967508081493,-0.6627824943152321,0.7352029231610051,6.776263578034403e-20,radler fußgänger,3.202012797903864
1.116664267033344,-4.114103275821034,-0.7169614981203531,0.8540207003292131,1.7618285302889447e-19,neue,8.424473499482879
-2.7803126331528434,-0.41528980000386717,-0.6820671341079488,0.7887275777747937,7.453889935837843e-20,fußgänger neu+e,3.182765838342159
-2.78039194335206,-0.413183897353566,-0.6929369452730758,0.8146523907495979,8.131516293641283e-20,U-Bahnen,3.1850759928300714
