keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Deutschlandticket',-0.04622438622079548,0.3915008949683287,-0.29245921264394437,0.2550998217771256,3.0
'Elektromobilität',0.39256822734530505,1.1662284330931245,0.051068074760443095,1.0418954864445815,14.0
'Fahrverbote',-0.35890995514867763,0.783652522528534,0.027776390199328836,0.9746907760621838,14.0
'Gesundheit Klimawandel',0.406463003601198,0.29370501750952677,-0.4610852654857413,0.2501405818421879,3.0
'Industrie Klimawandel',-0.24831723659570432,0.2086615801563966,-0.3804090568654912,0.8556087012296971,2.0
'Klimawandel',-0.2581398606729573,0.8019569599175538,-0.38631205828539183,0.531348661324358,10.0
'LKW KLimawandel',-0.21892530414404895,0.8474986850228784,-0.30083282810508044,0.49199119507236566,9.0
'Niedrigwasser',0.023004434608192615,0.8263481173216566,0.08558270016160435,0.9783228910800637,50.0
'Pendlerpauschale',0.23030071199035201,1.0,-0.4865750111723144,1.0,1.0
'Spritpreise',0.22170868749753342,0.9778713069405913,-0.14454839569515374,0.8090580175946533,16.0
'Tempolimit',0.23030071199035201,1.0,3.7804610027590257,1.0,1.0
'Verkehrswende',-0.06365596975909762,1.5159405634840264,0.21083769350672088,0.8770131446485624,5.0
'Wasserversorgung Klimawandel',-0.4271369139098721,0.3959371833584697,0.7278963750118632,0.029400925543989376,2.0
'Wärmewende',-1.1712718225721457,1.2829876859727019,-0.11197247787814396,0.7260205740575657,4.0
'e-Auto Verkehrswende',0.31986136754297967,0.8070207165774657,0.3494317593193431,0.9992375314685618,8.0
'Ökologie Klimawandel',2.1086836931992066,1.0,-0.9854157715472247,1.0,1.0
