,summary,Verkehrswende,Klimawandel,Landwirtschaft,Waermewende,Energiewende,Gesundheit,Wasserversorgung,Industrie,Klimaextreme,Urbane_Hitzeinsel,Geo_Engineering,Tipping_Points,Oekologie,word
summaryOfAllWords,10906.717876131986,4795.327207328223,817.2879824630824,555.2341565567622,652.1841838787302,0.0,689.7167593109799,557.6031917819922,758.9846435016121,555.2341565567622,445.1444977220346,524.766940476321,0.0,555.2341565567622,
Verkehrswende,32.2769506196597,0.7594146594769567,-2.4273345837362514,-2.387306582026479,-2.3622105065070578,0.0,-2.4160449866509337,-2.387518750102328,-2.4357584446188034,-2.387306582026479,-2.3690481510447574,-1.2425212346617707,0.0,-2.387306582026479,Verkehrswende
Das,21.80081084179294,0.36519679323724713,-0.2976254641940803,-0.38208971381508305,-0.3480756729113126,0.0,-0.5858471160279672,-0.3861100886721986,-0.6748396871695717,-0.38208971381508305,-0.4243587945364374,-0.39681259669192154,0.0,-0.38208971381508305,Das
verkehr+s+wende der,4.849071373089737,0.34656876953761634,-0.5317684285007822,-0.4917404267910101,-0.4666443512715885,0.0,-0.5204788314154646,-0.4919525948668588,-0.5401922893833344,-0.4917404267910101,-0.47348199580928824,0.35311993557299165,0.0,-0.4917404267910101,verkehr+s+wende der
Münchens,5.804699255686654,0.3671564704655508,-0.7116490173519097,-0.6716210156421377,-0.6465249401227161,0.0,-0.7003594202665921,-0.6718331837179863,-0.720072878234462,-0.6716210156421377,-0.6533625846604159,0.7950156233893841,0.0,-0.6716210156421377,Münchens
der münchen+s,4.534003350044883,0.3014251218953106,-0.46458650230693793,-0.42455850059716577,-0.39946242507774415,0.0,-0.4532969052216201,-0.4247706686730144,-0.4730103631894899,-0.42455850059716577,-0.4063000696154439,0.4360516072103735,0.0,-0.42455850059716577,der münchen+s
größte,5.222492249360475,0.24945017602499353,-0.6059559417114502,-0.565927940001678,-0.5408318644822564,0.0,-0.5946663446261325,-0.5661401080775267,0.545867408958711,-0.565927940001678,-0.5476695090199561,0.31170745857400045,0.0,-0.565927940001678,größte
münchen+s groß,4.345495543952452,0.26905451799116264,-0.422121012805348,-0.38209301109557564,-0.3569969355761541,0.0,-0.41083141572003035,-0.38230517917142454,-0.4305448736879001,-0.38209301109557564,-0.36383458011385394,0.4955423874801029,0.0,-0.38209301109557564,münchen+s groß
Baustellen,4.243687025075793,0.24913710455134475,-0.3984136841128571,-0.35838568240308505,-0.33328960688366344,0.0,-0.3871240870275396,-0.35859785047893367,-0.4068375449954093,-0.35838568240308505,-0.3401272514213632,0.5335028856605049,0.0,-0.35838568240308505,Baustellen
groß bau+stelle+n,4.243687025075793,0.24913710455134475,-0.3984136841128571,-0.35838568240308505,-0.33328960688366344,0.0,-0.3871240870275396,-0.35859785047893367,-0.4068375449954093,-0.35838568240308505,-0.3401272514213632,0.5335028856605049,0.0,-0.35838568240308505,groß bau+stelle+n
Weniger,4.130429280482427,0.22392432545455612,-0.3713625549268181,-0.33133455321704575,-0.3062384776976242,0.0,-0.3600729578415004,-0.33154672129289453,-0.3797864158093702,-0.33133455321704575,-0.31307612223532405,0.5850497442974981,0.0,-0.33133455321704575,Weniger
bau+stelle+n wenig+er,4.130429280482427,0.22392432545455612,-0.3713625549268181,-0.33133455321704575,-0.3062384776976242,0.0,-0.3600729578415004,-0.33154672129289453,-0.3797864158093702,-0.33133455321704575,-0.31307612223532405,0.5850497442974981,0.0,-0.33133455321704575,bau+stelle+n wenig+er
Autos,5.084837672218386,0.3329691649378547,-0.5792443174734458,-0.5392163157636738,-0.5141202402442522,0.0,-0.5679547203881282,-0.5394284838395224,-0.5876681783559982,-0.5392163157636738,-0.5209578847819519,0.640031011221826,0.0,-0.5392163157636738,Autos
wenig+er auto+s,4.072223241935062,0.2089472792345659,-0.35717031275342503,-0.31714231104365287,-0.2920462355242312,0.0,-0.34588071566810735,-0.3173544791195016,-0.3655941736359774,-0.31714231104365287,-0.2988838800619311,0.618958211333408,0.0,-0.31714231104365287,wenig+er auto+s
mehr,21.29614802564709,0.27058425909420314,-0.3051621573020767,-0.38763884364579687,-0.15438079630387838,0.0,0.15661789653667432,-0.3916470594800699,-0.4419355786693533,-0.38763884364579687,-0.428850053601238,-0.35397749869056067,0.0,-0.38763884364579687,mehr
auto+s mehr,4.033525698383655,0.19760794692192635,-0.34762206796144357,-0.3075940662516714,-0.2824979907322497,0.0,-0.33633247087612583,-0.3078062343275201,-0.3560459288439957,-0.3075940662516714,-0.2893356352699496,0.6473268663932551,0.0,-0.3075940662516714,auto+s mehr
Platz,4.011752797101693,0.19036187419710204,-0.3422094636744493,-0.30218146196467716,-0.2770853864452554,0.0,-0.33091986658913153,-0.30239363004052566,-0.35063332455700147,-0.30218146196467716,-0.2839230309829553,0.6672218062676298,0.0,-0.30218146196467716,Platz
mehr platz,4.011752797101693,0.19036187419710204,-0.3422094636744493,-0.30218146196467716,-0.2770853864452554,0.0,-0.33091986658913153,-0.30239363004052566,-0.35063332455700147,-0.30218146196467716,-0.2839230309829553,0.6672218062676298,0.0,-0.30218146196467716,mehr platz
Radler,3.9811956771880164,0.177736916406118,-0.3345634069329388,-0.2945354052231667,-0.26943932970374496,0.0,-0.323273809847621,-0.29474757329901524,-0.34298726781549094,-0.2945354052231667,-0.2762769742414449,0.7069389265085559,0.0,-0.2945354052231667,Radler
platz radler,3.9811956771880164,0.177736916406118,-0.3345634069329388,-0.2945354052231667,-0.26943932970374496,0.0,-0.323273809847621,-0.29474757329901524,-0.34298726781549094,-0.2945354052231667,-0.2762769742414449,0.7069389265085559,0.0,-0.2945354052231667,platz radler
Fußgänger,4.897900661627447,0.2944467627574842,-0.5417878882589631,-0.501759886549191,-0.4766638110297693,0.0,-0.5304982911736454,-0.5019720546250397,-0.5502117491415154,-0.501759886549191,-0.48350145556746915,0.7626735820407242,0.0,-0.501759886549191,Fußgänger
radler fußgänger,3.966782899045097,0.16652146757070813,-0.3309366246503894,-0.29090862294061726,-0.26581254742119553,0.0,-0.3196470275650718,-0.291120791016466,-0.3393604855329416,-0.29090862294061726,-0.2726501919588954,0.7518991158475498,0.0,-0.29090862294061726,radler fußgänger
neue,12.238473880403689,0.24797847794150407,-0.38157530562758457,-0.42242079083555073,0.0216284567078316,0.0,-0.3238328773451562,-0.4259821767576354,-0.10554079928875014,-0.42242079083555073,-0.442193380056946,0.15610380405816476,0.0,-0.42242079083555073,neue
fußgänger neu+e,3.975171247187825,0.15836065558290804,-0.33304903958191645,-0.2930210378721442,-0.2679249623527227,0.0,-0.3217594424965987,-0.2932332059479929,-0.3414729004644687,-0.2930210378721442,-0.2747626068904224,0.7999172479160003,0.0,-0.2930210378721442,fußgänger neu+e
U-Bahnen,3.988957844111038,0.15599393781226065,-0.3365112161831348,-0.29648321447336273,-0.2713871389539412,0.0,-0.32522161909781716,-0.2966953825492116,-0.3449350770656871,-0.29648321447336273,-0.27822478349164104,0.823212204133142,0.0,-0.29648321447336273,U-Bahnen
neu+e u-bahn+en,3.988957844111038,0.15599393781226065,-0.3365112161831348,-0.29648321447336273,-0.2713871389539412,0.0,-0.32522161909781716,-0.2966953825492116,-0.3449350770656871,-0.29648321447336273,-0.27822478349164104,0.823212204133142,0.0,-0.29648321447336273,neu+e u-bahn+en
Tramlinien,4.07832854775856,0.15772856681703548,-0.3586684461615497,-0.3186404444517777,-0.29354436893235614,0.0,-0.3473788490762321,-0.31885261252762626,-0.367092307044102,-0.3186404444517777,-0.30038201347005594,0.8881977878279601,0.0,-0.3186404444517777,Tramlinien
u-bahn+en tram+linie+n,4.07832854775856,0.15772856681703548,-0.3586684461615497,-0.3186404444517777,-0.29354436893235614,0.0,-0.3473788490762321,-0.31885261252762626,-0.367092307044102,-0.3186404444517777,-0.30038201347005594,0.8881977878279601,0.0,-0.3186404444517777,u-bahn+en tram+linie+n
Mobilitätsreferent,8.94620411049319,0.5112041102645221,-1.1442105319391414,-1.104182530229369,-1.0790864547099477,0.0,-1.1329209348538236,-1.104394698305218,-1.1526343928216936,-1.104182530229369,-1.0859240992476473,0.7221778212126128,0.0,-1.104182530229369,Mobilitätsreferent
tram+linie+n mobilität+s+referent,4.454090167391439,0.2093653643183184,-0.4468040241184851,-0.4067760224087131,-0.38167994688929135,0.0,-0.43551442703316745,-0.40698819048456175,-0.45522788500103745,-0.4067760224087131,-0.3885175914269911,0.9200720063095419,0.0,-0.4067760224087131,tram+linie+n mobilität+s+referent
Georg,5.93876864849181,0.11916842283577442,-0.7344830250016451,-0.694455023291873,-0.6693589477724514,0.0,-0.7231934279163273,-0.6946671913677217,-0.7429068858841975,-0.694455023291873,-0.6761965923101513,1.655025380300169,0.0,-0.694455023291873,Georg
mobilität+s+referent georg,5.93876864849181,0.11916842283577442,-0.7344830250016451,-0.694455023291873,-0.6693589477724514,0.0,-0.7231934279163273,-0.6946671913677217,-0.7429068858841975,-0.694455023291873,-0.6761965923101513,1.655025380300169,0.0,-0.694455023291873,mobilität+s+referent georg
Dunkel,8.908911698303648,0.46603849489038274,-1.140033301523395,-1.100005299813623,-1.074909224294201,0.0,-1.1287437044380773,-1.1002174678894714,-1.1484571624059472,-1.100005299813623,-1.0817468688319012,0.9995767442789864,0.0,-1.100005299813623,Dunkel
georg dunkel,5.468155132177845,0.18060312370620496,-0.651922500726973,-0.611894499017201,-0.5867984234977794,0.0,-0.6406329036416555,-0.6121066670930497,-0.6603463616095253,-0.611894499017201,-0.5936360680354792,1.4179310389471327,0.0,-0.611894499017201,georg dunkel
kommenden,5.864001892104338,0.40905790069824427,-0.7218134985987911,-0.681785496889019,-0.6566894213695974,0.0,-0.7105239015134736,-0.6819976649648678,-0.7302373594813434,-0.681785496889019,-0.663527065907297,0.5331882634307107,0.0,-0.681785496889019,kommenden
dunkel komm+end+en,5.64538745447068,0.3890768346802241,-0.6838200433492725,-0.6437920416395004,-0.6186959661200787,0.0,-0.672530446263955,-0.6440042097153491,-0.6922439042318248,-0.6437920416395004,-0.6255336106577787,0.5711817186802293,0.0,-0.6437920416395004,dunkel komm+end+en
Jahren,7.30545778822698,0.5113130422000259,-0.9416029223820397,-0.9015749206722677,-0.876478845152846,0.0,-0.9303133252967221,-0.9017870887481164,-0.950026783264592,-0.9015749206722677,-0.883316489690546,0.24184787791440787,0.0,-0.9015749206722677,Jahren
komm+end+en jahr+en,6.012836111260142,0.4298292660513076,-0.7468777473001476,-0.7068497455903754,-0.6817536700709539,0.0,-0.7355881502148299,-0.7070619136662242,-0.7553016081826998,-0.7068497455903754,-0.6885913146086536,0.43657305299630017,0.0,-0.7068497455903754,komm+end+en jahr+en
verantworten,3.6984185228460538,0.08281213962477248,-0.26088651336975704,-0.2208585116599851,-0.19576243614056346,0.0,-0.24959691628443942,-0.22107067973583377,-0.26931037425230936,-0.2208585116599851,-0.20260008067826318,0.8824329811714005,0.0,-0.2208585116599851,verantworten
jahr+en verantwort+en,3.6984185228460538,0.08281213962477248,-0.26088651336975704,-0.2208585116599851,-0.19576243614056346,0.0,-0.24959691628443942,-0.22107067973583377,-0.26931037425230936,-0.2208585116599851,-0.20260008067826318,0.8824329811714005,0.0,-0.2208585116599851,jahr+en verantwort+en
aufstaut,3.56822441529965,0.077069923935956,-0.22504932075459314,-0.1850213190448209,-0.15992524352539927,0.0,-0.21375972366927531,-0.18523348712066964,-0.2334731816371454,-0.1850213190448209,-0.16676288806309914,0.7727224721369778,0.0,-0.1850213190448209,aufstaut
verantwort+en auf+stau+t,3.56822441529965,0.077069923935956,-0.22504932075459314,-0.1850213190448209,-0.15992524352539927,0.0,-0.21375972366927531,-0.18523348712066964,-0.2334731816371454,-0.1850213190448209,-0.16676288806309914,0.7727224721369778,0.0,-0.1850213190448209,verantwort+en auf+stau+t
Keine,3.5448566933532404,0.07560741502498981,-0.21847894551088234,-0.17845094380111035,-0.15335486828168865,0.0,-0.2071893484255648,-0.17866311187695896,-0.2269028063934346,-0.17845094380111035,-0.16019251281938837,0.7525526770172419,0.0,-0.17845094380111035,Keine
idealen,3.5323118578712855,0.074805612962463,-0.21493378517452857,-0.17490578346475663,-0.14980970794533482,0.0,-0.20364418808921098,-0.17511795154060522,-0.22335764605708092,-0.17490578346475663,-0.1566473524830348,0.7414785140497875,0.0,-0.17490578346475663,idealen
kein+e ideal+en,3.5323118578712855,0.074805612962463,-0.21493378517452857,-0.17490578346475663,-0.14980970794533482,0.0,-0.20364418808921098,-0.17511795154060522,-0.22335764605708092,-0.17490578346475663,-0.1566473524830348,0.7414785140497875,0.0,-0.17490578346475663,kein+e ideal+en
Voraussetzungen,3.517120658493974,0.07384524927170803,-0.21062387147375913,-0.17059586976398716,-0.1454997942445654,0.0,-0.19933427438844165,-0.17080803783983584,-0.21904773235631142,-0.17059586976398716,-0.15233743878226527,0.7277033497034652,0.0,-0.17059586976398716,Voraussetzungen
ideal+en voraussetzung+en,3.517120658493974,0.07384524927170803,-0.21062387147375913,-0.17059586976398716,-0.1454997942445654,0.0,-0.19933427438844165,-0.17080803783983584,-0.21904773235631142,-0.17059586976398716,-0.15233743878226527,0.7277033497034652,0.0,-0.17059586976398716,ideal+en voraussetzung+en
gewünschte,3.4748740865384424,0.07173900171715152,-0.1985394556206704,-0.15851145391089824,-0.13341537839147657,0.0,-0.18724985853535278,-0.15872362198674703,-0.20696331650322272,-0.15851145391089824,-0.14025302292917638,0.6846701579023722,0.0,-0.15851145391089824,gewünschte
voraussetzung+en ge+wünsch+t+e,3.4748740865384424,0.07173900171715152,-0.1985394556206704,-0.15851145391089824,-0.13341537839147657,0.0,-0.18724985853535278,-0.15872362198674703,-0.20696331650322272,-0.15851145391089824,-0.14025302292917638,0.6846701579023722,0.0,-0.15851145391089824,voraussetzung+en ge+wünsch+t+e
Neuverteilung,3.463729989212135,0.07168430429398844,-0.19532725132512424,-0.155299249615352,-0.13020317409593032,0.0,-0.18403765423980648,-0.15551141769120072,-0.20375111220767642,-0.155299249615352,-0.13704081863363024,0.6702635691278491,0.0,-0.155299249615352,Neuverteilung
ge+wünsch+t+e neuverteilung,3.463729989212135,0.07168430429398844,-0.19532725132512424,-0.155299249615352,-0.13020317409593032,0.0,-0.18403765423980648,-0.15551141769120072,-0.20375111220767642,-0.155299249615352,-0.13704081863363024,0.6702635691278491,0.0,-0.155299249615352,ge+wünsch+t+e neuverteilung
öffentlichen,3.451598088451695,0.0728673823061348,-0.19181854918677366,-0.1517905474770015,-0.12669447195757974,0.0,-0.180528952101456,-0.15200271555285017,-0.20024241006932583,-0.1517905474770015,-0.1335321164952796,0.6478647359565012,0.0,-0.1517905474770015,öffentlichen
neuverteilung öffentlich+en,3.451598088451695,0.0728673823061348,-0.19181854918677366,-0.1517905474770015,-0.12669447195757974,0.0,-0.180528952101456,-0.15200271555285017,-0.20024241006932583,-0.1517905474770015,-0.1335321164952796,0.6478647359565012,0.0,-0.1517905474770015,neuverteilung öffentlich+en
Raums,3.448447974747115,0.0750954010318733,-0.1909054787827267,-0.1508774770729545,-0.12578140155353287,0.0,-0.17961588169740897,-0.15108964514880333,-0.19932933966527888,-0.1508774770729545,-0.13261904609123276,0.6319474245174048,0.0,-0.1508774770729545,Raums
öffentlich+en raum+s,3.448447974747115,0.0750954010318733,-0.1909054787827267,-0.1508774770729545,-0.12578140155353287,0.0,-0.17961588169740897,-0.15108964514880333,-0.19932933966527888,-0.1508774770729545,-0.13261904609123276,0.6319474245174048,0.0,-0.1508774770729545,öffentlich+en raum+s
umzusetzen,3.449025636572159,0.0766709334658019,-0.19107297832210796,-0.1510449766123357,-0.12594890109291407,0.0,-0.17978338123679022,-0.15125714468818452,-0.19949683920466005,-0.1510449766123357,-0.13278654563061387,0.624469148508807,0.0,-0.1510449766123357,umzusetzen
raum+s um+zu+setz+en,3.449025636572159,0.0766709334658019,-0.19107297832210796,-0.1510449766123357,-0.12594890109291407,0.0,-0.17978338123679022,-0.15125714468818452,-0.19949683920466005,-0.1510449766123357,-0.13278654563061387,0.624469148508807,0.0,-0.1510449766123357,raum+s um+zu+setz+en
besseres,3.4636583449703053,0.08531660780028891,-0.19530656698107515,-0.1552785652713031,-0.13018248975188143,0.0,-0.18401696989575747,-0.15549073334715183,-0.20373042786362738,-0.1552785652713031,-0.13702013428958135,0.5987374850641858,0.0,-0.1552785652713031,besseres
um+zu+setz+en gut+er+es,3.4636583449703053,0.08531660780028891,-0.19530656698107515,-0.1552785652713031,-0.13018248975188143,0.0,-0.18401696989575747,-0.15549073334715183,-0.20373042786362738,-0.1552785652713031,-0.13702013428958135,0.5987374850641858,0.0,-0.1552785652713031,um+zu+setz+en gut+er+es
Miteinander,3.4819640002926073,0.09271429669470033,-0.2005777138409302,-0.1605497121311581,-0.13545363661173646,0.0,-0.18928811675561255,-0.16076188020700685,-0.20900157472348233,-0.1605497121311581,-0.14229128114943634,0.5840608059250383,0.0,-0.1605497121311581,Miteinander
gut+er+es miteinander,3.4819640002926073,0.09271429669470033,-0.2005777138409302,-0.1605497121311581,-0.13545363661173646,0.0,-0.18928811675561255,-0.16076188020700685,-0.20900157472348233,-0.1605497121311581,-0.14229128114943634,0.5840608059250383,0.0,-0.1605497121311581,gut+er+es miteinander
öffentlichem,3.5633381826050594,0.11957020636670714,-0.22367900859870665,-0.18365100688893465,-0.15855493136951293,0.0,-0.21238941151338908,-0.18386317496478324,-0.23210286948125897,-0.18365100688893465,-0.1653925759072128,0.5453043136754758,0.0,-0.18365100688893465,öffentlichem
miteinander öffentlich+em,3.5633381826050594,0.11957020636670714,-0.22367900859870665,-0.18365100688893465,-0.15855493136951293,0.0,-0.21238941151338908,-0.18386317496478324,-0.23210286948125897,-0.18365100688893465,-0.1653925759072128,0.5453043136754758,0.0,-0.18365100688893465,miteinander öffentlich+em
Nahverkehr,5.136829031734691,0.39206188167885136,-0.5894171805477615,-0.5493891788379894,-0.5242931033185679,0.0,-0.578127583462444,-0.5496013469138382,-0.5978410414303139,-0.5493891788379894,-0.5311307478562678,0.16773862444395887,0.0,-0.5493891788379894,Nahverkehr
öffentlich+em nahverkehr,3.91469864798259,0.20865500818630295,-0.3177195641348024,-0.27769156242503035,-0.25259548690560873,0.0,-0.30642996704948466,-0.2779037305008789,-0.32614342501735466,-0.27769156242503035,-0.25943313144330854,0.4394362408569181,0.0,-0.27769156242503035,öffentlich+em nahverkehr
nahverkehr fußgänger,3.5508642192604465,0.11967058367156304,-0.2201722272553564,-0.18014422554558432,-0.15504815002616265,0.0,-0.20888263017003883,-0.180356393621433,-0.2285960881379087,-0.18014422554558432,-0.1618857945638625,0.526694440460044,0.0,-0.18014422554558432,nahverkehr fußgänger
Radfahrer,3.4591693122202587,0.09386178292929435,-0.19400968842176095,-0.1539816867119886,-0.12888561119256714,0.0,-0.18272009133644299,-0.15419385478783737,-0.2024335493043131,-0.1539816867119886,-0.13572325573026686,0.5439042351735957,0.0,-0.1539816867119886,Radfahrer
fußgänger rad+fahrer,3.4591693122202587,0.09386178292929435,-0.19400968842176095,-0.1539816867119886,-0.12888561119256714,0.0,-0.18272009133644299,-0.15419385478783737,-0.2024335493043131,-0.1539816867119886,-0.13572325573026686,0.5439042351735957,0.0,-0.1539816867119886,fußgänger rad+fahrer
rad+fahrer auto+s,3.3958755556999964,0.07561769509200458,-0.17554283475198446,-0.13551483304221223,-0.11041875752279055,0.0,-0.16425323766666683,-0.135727001118061,-0.18396669563453655,-0.13551483304221223,-0.11725640206049044,0.5515767468152732,0.0,-0.13551483304221223,rad+fahrer auto+s
hinzubek…,3.376460866634039,0.0700105401783233,-0.16980929139531803,-0.1297812896855459,-0.10468521416612417,0.0,-0.15851969431000032,-0.12999345776139454,-0.17823315227787026,-0.1297812896855459,-0.11152285870382408,0.5528740183266677,0.0,-0.1297812896855459,hinzubek…
auto+s hinzubek…,3.376460866634039,0.0700105401783233,-0.16980929139531803,-0.1297812896855459,-0.10468521416612417,0.0,-0.15851969431000032,-0.12999345776139454,-0.17823315227787026,-0.1297812896855459,-0.11152285870382408,0.5528740183266677,0.0,-0.1297812896855459,auto+s hinzubek…
+7357,3.3473937514210688,0.0616449092566283,-0.16116326974947928,-0.12113526803970709,-0.0960391925202856,0.0,-0.14987367266416157,-0.12134743611555583,-0.1695871306320315,-0.12113526803970709,-0.10287683705798528,0.5536607732313196,0.0,-0.12113526803970709,+7357
hinzubek… +7357,3.3473937514210688,0.0616449092566283,-0.16116326974947928,-0.12113526803970709,-0.0960391925202856,0.0,-0.14987367266416157,-0.12134743611555583,-0.1695871306320315,-0.12113526803970709,-0.10287683705798528,0.5536607732313196,0.0,-0.12113526803970709,hinzubek… +7357
chars,28.311709771297927,0.13941569609508997,0.03217577829161469,-0.08905933056054556,-0.6686281635597284,0.0,0.013631370678805182,-0.09322478742056015,-0.12200829469973583,-0.08905933056054556,-0.1514961803041151,-0.19799875994466193,0.0,-0.08905933056054556,chars
+7357 char+s,3.334038851512761,0.057820750252036465,-0.1571656487339509,-0.1171376470241789,-0.09204157150475731,0.0,-0.1458760516486332,-0.11734981510002765,-0.1655895096165033,-0.1171376470241789,-0.09887921604245704,0.5535128667740006,0.0,-0.1171376470241789,+7357 char+s
News-Überblick,3.352570525637538,0.14802962858289212,-0.16270858403253333,-0.1226805823227613,-0.0975845068033397,0.0,-0.15141898694721567,-0.12289275039861002,-0.17113244491508578,-0.1226805823227613,-0.10442215134103947,-0.1311329704552459,0.0,-0.1226805823227613,News-Überblick
news+-+überblick der,3.401328396446348,0.16171850070308674,-0.17714727150405898,-0.13711926979428676,-0.11202319427486505,0.0,-0.1658576744187412,-0.13733143787013552,-0.18557113238661108,-0.13711926979428676,-0.11886083881256491,-0.1455716579267714,0.0,-0.13711926979428676,news+-+überblick der
Nachrichten,3.4482335808481697,0.17435448735561326,-0.19084330572245534,-0.15081530401268325,-0.12571922849326153,0.0,-0.17955370863713763,-0.151027472088532,-0.1992671666050076,-0.15081530401268325,-0.13255687303096142,-0.15926769214516778,0.0,-0.15081530401268325,Nachrichten
der nachricht+en,3.4482335808481697,0.17435448735561326,-0.19084330572245534,-0.15081530401268325,-0.12571922849326153,0.0,-0.17955370863713763,-0.151027472088532,-0.1992671666050076,-0.15081530401268325,-0.13255687303096142,-0.15926769214516778,0.0,-0.15081530401268325,der nachricht+en
Tages,3.51855479456047,0.19238864993657503,-0.21103154692608161,-0.1710035452163095,-0.14590746969688778,0.0,-0.19974194984076388,-0.17121571329215832,-0.21945540780863393,-0.1710035452163095,-0.1527451142345878,-0.1794559333487942,0.0,-0.1710035452163095,Tages
nachricht+en tag+es,3.51855479456047,0.19238864993657503,-0.21103154692608161,-0.1710035452163095,-0.14590746969688778,0.0,-0.19974194984076388,-0.17121571329215832,-0.21945540780863393,-0.1710035452163095,-0.1527451142345878,-0.1794559333487942,0.0,-0.1710035452163095,nachricht+en tag+es
Wie,11.04554578750128,-0.16386515411914102,0.33616719266324324,0.2546664119103905,-1.2898843846657864,0.0,0.05190901489303429,0.3575513652644249,-0.036584745785204494,0.2546664119103905,0.2139734452129303,0.05988583357026963,0.0,0.2546664119103905,Wie
tag+es wie,3.5497753585574863,0.20006699441131495,-0.21986553355556723,-0.17983753184579512,-0.15474145632637354,0.0,-0.20857593647024952,-0.18004969992164382,-0.22828939443811955,-0.17983753184579512,-0.16157910086407334,-0.18828991997827976,0.0,-0.17983753184579512,tag+es wie
Wiesn-Aufbau,4.46207193026892,0.3623967682385073,-0.4485944278644495,-0.40856642615467764,-0.3834703506352559,0.0,-0.43730483077913196,-0.4087785942305261,-0.45701828874700196,-0.40856642615467764,-0.3903079951729557,-0.4170188142871621,0.0,-0.40856642615467764,Wiesn-Aufbau
wie wiesn-aufbau,3.5969796962891643,0.21131625014250446,-0.2330757314240686,-0.19304772971429654,-0.16795165419487487,0.0,-0.22178613433875088,-0.19325989779014527,-0.24149959230662094,-0.19304772971429654,-0.17478929873257462,-0.20150011784678126,0.0,-0.19304772971429654,wie wiesn-aufbau
vollen,3.7201048204417795,0.23877729543442194,-0.2667330567762309,-0.22670505506645863,-0.2016089795470371,0.0,-0.2554434596909132,-0.22691722314230742,-0.275156917658783,-0.22670505506645863,-0.20844662408473694,-0.23515744319894324,0.0,-0.22670505506645863,vollen
wiesn-aufbau voll+en,3.7201048204417795,0.23877729543442194,-0.2667330567762309,-0.22670505506645863,-0.2016089795470371,0.0,-0.2554434596909132,-0.22691722314230742,-0.275156917658783,-0.22670505506645863,-0.20844662408473694,-0.23515744319894324,0.0,-0.22670505506645863,wiesn-aufbau voll+en
Gange,3.79431958543762,0.25413675029480803,-0.2864863137480325,-0.24645831203826032,-0.22136223651883882,0.0,-0.27519671666271484,-0.24667048011410916,-0.29491017463058483,-0.24645831203826032,-0.22819988105653866,-0.2549107001707451,0.0,-0.24645831203826032,Gange
voll+en gang+e,3.79431958543762,0.25413675029480803,-0.2864863137480325,-0.24645831203826032,-0.22136223651883882,0.0,-0.27519671666271484,-0.24667048011410916,-0.29491017463058483,-0.24645831203826032,-0.22819988105653866,-0.2549107001707451,0.0,-0.24645831203826032,voll+en gang+e
aussieht,4.180231586834377,0.32229420269063425,-0.3833478599008811,-0.3433198581911091,-0.31822378267168744,0.0,-0.37205826281556365,-0.3435320262669577,-0.39177172078343353,-0.3433198581911091,-0.32506142720938724,-0.3517722463235937,0.0,-0.3433198581911091,aussieht
gang+e aus+seh+t,3.876826941539395,0.27026617052795765,-0.3079982318332261,-0.2679702301234539,-0.24287415460403242,0.0,-0.2967086347479085,-0.2681823981993025,-0.3164220927157783,-0.2679702301234539,-0.24971179914173222,-0.2764226182559386,0.0,-0.2679702301234539,gang+e aus+seh+t
aus+seh+t mobilität+s+referent,4.349236820078508,0.34715529592098876,-0.4229815973984825,-0.3829535956887105,-0.3578575201692887,0.0,-0.4116920003131649,-0.3831657637645591,-0.4314054582810347,-0.3829535956887105,-0.3646951647069886,-0.39140598382119507,0.0,-0.3829535956887105,aus+seh+t mobilität+s+referent
mobilität+s+referent dunkel,4.188243375102354,0.32353263259822096,-0.3852626151584906,-0.34523461344871836,-0.32013853792929664,0.0,-0.3739730180731729,-0.34544678152456715,-0.3936864760410427,-0.34523461344871836,-0.32697618246699667,-0.3536870015812031,0.0,-0.34523461344871836,mobilität+s+referent dunkel
jahr+en verkehr+s+wende,6.73790910055526,0.5421546064527003,-0.8607308656757675,-0.8207028639659955,-0.795606788446574,0.0,-0.84944126859045,-0.8209150320418442,-0.8691547265583199,-0.8207028639659955,-0.8024444329842736,-0.8291552520984801,0.0,-0.8207028639659955,jahr+en verkehr+s+wende
vorantreiben,4.677111011703682,0.38884966052293246,-0.4956618254767793,-0.45563382376700723,-0.4305377482475855,0.0,-0.48437222839146155,-0.45584599184285585,-0.5040856863593316,-0.45563382376700723,-0.4373753927852852,-0.4640862118994919,0.0,-0.45563382376700723,vorantreiben
verkehr+s+wende voran+treib+en,4.677111011703682,0.38884966052293246,-0.4956618254767793,-0.45563382376700723,-0.4305377482475855,0.0,-0.48437222839146155,-0.45584599184285585,-0.5040856863593316,-0.45563382376700723,-0.4373753927852852,-0.4640862118994919,0.0,-0.45563382376700723,verkehr+s+wende voran+treib+en
Anwohner,4.027407565395994,0.29740550500302976,-0.3461040962918468,-0.30607609458207474,-0.2809800190626531,0.0,-0.3348144992065291,-0.30628826265792336,-0.35452795717439906,-0.30607609458207474,-0.2878176636003529,-0.31452848271455924,0.0,-0.30607609458207474,Anwohner
voran+treib+en anwohner,4.027407565395994,0.29740550500302976,-0.3461040962918468,-0.30607609458207474,-0.2809800190626531,0.0,-0.3348144992065291,-0.30628826265792336,-0.35452795717439906,-0.30607609458207474,-0.2878176636003529,-0.31452848271455924,0.0,-0.30607609458207474,voran+treib+en anwohner
