,summary,Verkehrswende,Klimawandel,Landwirtschaft,Waermewende,Energiewende,Gesundheit,Wasserversorgung,Industrie,Klimaextreme,Urbane_Hitzeinsel,Geo_Engineering,Tipping_Points,Oekologie,word
engpaß+en niedrigwasser,4.024896851839961,0.29697541196222094,-0.34548049502013567,-0.3054524933103636,-0.28035641779094195,0.0,-0.33419089793481815,-0.30566466138621246,-0.35390435590268793,-0.3054524933103636,-0.2871940623286418,-0.31390488144284834,0.0,-0.3054524933103636,engpaß+en niedrigwasser
niedrigwasser der,3.2802851957357184,0.12661414088340073,-0.14091157988559586,-0.1008835781758237,-0.07578750265640201,0.0,-0.12962198280027806,-0.10109574625167243,-0.14933544076814806,-0.1008835781758237,-0.08262514719410186,-0.1093359663083084,0.0,-0.1008835781758237,niedrigwasser der
Transport,3.4524133161734927,0.17545623626747953,-0.19205470978321768,-0.1520267080734456,-0.12693063255402395,0.0,-0.18076511269790002,-0.1522388761492943,-0.2004785706657699,-0.1520267080734456,-0.1337682770917238,-0.16047909620593026,0.0,-0.1520267080734456,Transport
der transport,3.2149246552745208,0.10599220300360443,-0.12078513339161297,-0.08075713168184072,-0.05566105616241921,0.0,-0.10949553630629526,-0.0809692997576894,-0.1292089942741652,-0.08075713168184072,-0.06249870070011897,-0.08920951981432536,0.0,-0.08075713168184072,der transport
Produkten,3.078507324700971,0.05854587626662741,-0.07742605602475955,-0.03739805431498745,-0.012301978795565762,0.0,-0.0661364589394418,-0.03761022239083617,-0.0858499169073118,-0.03739805431498745,-0.01913962333326564,-0.04585044244747207,0.0,-0.03739805431498745,Produkten
transport produkt+en,3.078507324700971,0.05854587626662741,-0.07742605602475955,-0.03739805431498745,-0.012301978795565762,0.0,-0.0661364589394418,-0.03761022239083617,-0.0858499169073118,-0.03739805431498745,-0.01913962333326564,-0.04585044244747207,0.0,-0.03739805431498745,transport produkt+en
Bauwirtschaft,2.9878482261320984,0.023182251882360182,-0.047534682863361245,-0.007506681153589064,0.017589394365832386,0.0,-0.036245085778043654,-0.007718849229437934,-0.055958543745913664,-0.007506681153589064,0.010751749828132725,-0.015959069286073845,0.0,-0.007506681153589064,Bauwirtschaft
produkt+en bau+wirtschaft,2.9878482261320984,0.023182251882360182,-0.047534682863361245,-0.007506681153589064,0.017589394365832386,0.0,-0.036245085778043654,-0.007718849229437934,-0.055958543745913664,-0.007506681153589064,0.010751749828132725,-0.015959069286073845,0.0,-0.007506681153589064,produkt+en bau+wirtschaft
könne,2.94362238500106,0.004646936180673346,-0.03262213802557584,0.007405863684196212,0.03250193920361778,0.0,-0.021332540940258212,0.00719369560834743,-0.04104599890812811,0.007405863684196212,0.025664294665918002,-0.0010465244482882868,0.0,0.007405863684196212,könne
bau+wirtschaft könn+e,2.94362238500106,0.004646936180673346,-0.03262213802557584,0.007405863684196212,0.03250193920361778,0.0,-0.021332540940258212,0.00719369560834743,-0.04104599890812811,0.007405863684196212,0.025664294665918002,-0.0010465244482882868,0.0,0.007405863684196212,bau+wirtschaft könn+e
einfach,2.9152573480128403,-0.007726894141284234,-0.022939311308122816,0.01708869040164945,0.04218476592107101,0.0,-0.011649714222805047,0.016876522325800634,-0.03136317219067492,0.01708869040164945,0.035347121383371254,0.00863630226916474,0.0,0.01708869040164945,einfach
könn+e einfach,2.9152573480128403,-0.007726894141284234,-0.022939311308122816,0.01708869040164945,0.04218476592107101,0.0,-0.011649714222805047,0.016876522325800634,-0.03136317219067492,0.01708869040164945,0.035347121383371254,0.00863630226916474,0.0,0.01708869040164945,könn+e einfach
Straße,3.88876230216976,0.2725219490761079,-0.3110721441028124,-0.27104414239304025,-0.24594806687361856,0.0,-0.2997825470174947,-0.27125631046888904,-0.31949600498536457,-0.27104414239304025,-0.2527857114113185,-0.2794965305255248,0.0,-0.27104414239304025,Straße
einfach straße,2.885968329671342,-0.020926745060147828,-0.01284169786165512,0.027186303848117065,0.052282379367538497,0.0,-0.0015521007763376169,0.026974135772268343,-0.02126555874420734,0.027186303848117065,0.04544473482983878,0.018733915715632255,0.0,0.027186303848117065,einfach straße
umgelegt,2.8753332380849095,-0.025830491688395286,-0.009149787781537464,0.030878213928234574,0.05597428944765625,0.0,0.0021398093037800748,0.030666045852385845,-0.017573648664089933,0.030878213928234574,0.049136644909956236,0.022425825795749827,0.0,0.030878213928234574,umgelegt
straße um+ge+leg+t,2.8753332380849095,-0.025830491688395286,-0.009149787781537464,0.030878213928234574,0.05597428944765625,0.0,0.0021398093037800748,0.030666045852385845,-0.017573648664089933,0.030878213928234574,0.049136644909956236,0.022425825795749827,0.0,0.030878213928234574,straße um+ge+leg+t
um+ge+leg+t warn+t,3.1253393348152443,0.07555936479996396,-0.09252407578412838,-0.05249607407435628,-0.027399998554934676,0.0,-0.08123447869881087,-0.05270824215020491,-0.10094793666668055,-0.05249607407435628,-0.03423764309263448,-0.06094846220684086,0.0,-0.05249607407435628,um+ge+leg+t warn+t
Branchenverband,2.8426236786480334,-0.04129918391504187,0.0022913324357413663,0.04231933414551331,0.06741540966493502,0.0,0.013580929521058847,0.04210716606966459,-0.006132528446810933,0.04231933414551331,0.060577765127235186,0.033866946013028774,0.0,0.04231933414551331,Branchenverband
warn+t branche+n+verband,2.8426236786480334,-0.04129918391504187,0.0022913324357413663,0.04231933414551331,0.06741540966493502,0.0,0.013580929521058847,0.04210716606966459,-0.006132528446810933,0.04231933414551331,0.060577765127235186,0.033866946013028774,0.0,0.04231933414551331,warn+t branche+n+verband
rechnet,6.035964836547653,-0.29251560963817097,0.3556937945490617,0.31278463620327485,-0.6855928493878208,0.0,0.1316880733940466,0.30918938100476234,0.05362971009349781,0.31278463620327485,0.29198077683853046,0.1535878245687034,0.0,0.31278463620327485,rechnet
baldigen,2.8149173241945524,-0.0548788658489023,0.01208589722510852,0.052113898934880595,0.07720997445430237,0.0,0.023375494310426275,0.05190173085903191,0.0036620363425562915,0.052113898934880595,0.07037232991660246,0.04366151080239608,0.0,0.052113898934880595,baldigen
rechn+et baldig+en,2.8149173241945524,-0.0548788658489023,0.01208589722510852,0.052113898934880595,0.07720997445430237,0.0,0.023375494310426275,0.05190173085903191,0.0036620363425562915,0.052113898934880595,0.07037232991660246,0.04366151080239608,0.0,0.052113898934880595,rechn+et baldig+en
baldig+en engpaß+en,2.808550996598602,-0.0580636482190441,0.014350097875875321,0.0543780995856477,0.07947417510506924,0.0,0.025639694961193154,0.054165931509798926,0.005926236993323348,0.0543780995856477,0.07263653056736931,0.0459257114531631,0.0,0.0543780995856477,baldig+en engpaß+en
Bauindustrie,2.7960365868426322,-0.06439636549347368,0.018815878941034307,0.05884388065080661,0.08393995617022817,0.0,0.0301054760263522,0.05863171257495773,0.010392018058482243,0.05884388065080661,0.0771023116325284,0.050391492518321895,0.0,0.05884388065080661,Bauindustrie
auch bau+industrie,2.7960365868426322,-0.06439636549347368,0.018815878941034307,0.05884388065080661,0.08393995617022817,0.0,0.0301054760263522,0.05863171257495773,0.010392018058482243,0.05884388065080661,0.0771023116325284,0.050391492518321895,0.0,0.05884388065080661,auch bau+industrie
bau+industrie teils,2.782888208784289,-0.07115534593623682,0.02352947623234829,0.06355747794212024,0.08865355346154206,0.0,0.03481907331766596,0.06334530986627164,0.015105615349795981,0.06355747794212024,0.08181590892384225,0.055105089809635736,0.0,0.06355747794212024,bau+industrie teils
extrem,2.7800651615203718,-0.0726208996940305,0.024544421826293024,0.06457242353606532,0.08966849905548697,0.0,0.03583401891161095,0.0643602554602166,0.016120560943740835,0.06457242353606532,0.08283085451778702,0.05612003540358077,0.0,0.06457242353606532,extrem
teils extrem,2.7800651615203718,-0.0726208996940305,0.024544421826293024,0.06457242353606532,0.08966849905548697,0.0,0.03583401891161095,0.0643602554602166,0.016120560943740835,0.06457242353606532,0.08283085451778702,0.05612003540358077,0.0,0.06457242353606532,teils extrem
extrem niedrig+en,2.776911702195142,-0.07426405860424698,0.025679376943462718,0.0657073786532348,0.09080345417265646,0.0,0.03696897402878032,0.06549521057738614,0.017255516060910556,0.0657073786532348,0.08396580963495653,0.05725499052075012,0.0,0.0657073786532348,extrem niedrig+en
niedrig+en pegel,2.7726474313248906,-0.07649628855990737,0.027216173509429176,0.06724417521920145,0.0923402507386232,0.0,0.038505770594746955,0.06703200714335272,0.018792312626877018,0.06724417521920145,0.08550260620092325,0.05879178708671665,0.0,0.06724417521920145,niedrig+en pegel
deutscher,2.769817184030938,-0.0779844067002686,0.028237469173498234,0.06826547088327034,0.09336154640269197,0.0,0.03952706625881592,0.0680533028074216,0.019813608290946017,0.06826547088327034,0.08652390186499226,0.05981308275078562,0.0,0.06826547088327034,deutscher
pegel deutsch+er,2.769817184030938,-0.0779844067002686,0.028237469173498234,0.06826547088327034,0.09336154640269197,0.0,0.03952706625881592,0.0680533028074216,0.019813608290946017,0.06826547088327034,0.08652390186499226,0.05981308275078562,0.0,0.06826547088327034,pegel deutsch+er
deutsch+er fluss+e,2.765975546197202,-0.08001273996107047,0.029625396300701056,0.06965339801047317,0.09474947352989471,0.0,0.04091499338601871,0.06944122993462445,0.02120153541814863,0.06965339801047317,0.08791182899219485,0.06120100987798832,0.0,0.06965339801047317,deutsch+er fluss+e
betroffen,2.7634167507566696,-0.08136917254555166,0.03055092138040882,0.07057892309018106,0.09567499860960274,0.0,0.04184051846572666,0.07036675501433239,0.02212706049785666,0.07057892309018106,0.08883735407190287,0.06212653495769646,0.0,0.07057892309018106,betroffen
fluss+e betreff+en,2.7634167507566696,-0.08136917254555166,0.03055092138040882,0.07057892309018106,0.09567499860960274,0.0,0.04184051846572666,0.07036675501433239,0.02212706049785666,0.07057892309018106,0.08883735407190287,0.06212653495769646,0.0,0.07057892309018106,fluss+e betreff+en
Wasserstraße,2.7579312352798415,-0.0842918040325107,0.032537942410617755,0.07256594412039002,0.09766201963981155,0.0,0.0438275394959353,0.0723537760445413,0.02411408152806568,0.07256594412039002,0.09082437510211168,0.06411355598790526,0.0,0.07256594412039002,Wasserstraße
der wasser+straße,2.7579312352798415,-0.0842918040325107,0.032537942410617755,0.07256594412039002,0.09766201963981155,0.0,0.0438275394959353,0.0723537760445413,0.02411408152806568,0.07256594412039002,0.09082437510211168,0.06411355598790526,0.0,0.07256594412039002,der wasser+straße
wasser+straße transport,2.7502371060890325,-0.08842536564262625,0.035331660292230734,0.07535966200200288,0.10045573752142434,0.0,0.04662125737754832,0.07514749392615404,0.026907799409678464,0.07535966200200288,0.09361809298372455,0.06690727386951814,0.0,0.07535966200200288,wasser+straße transport
großer,2.7474180612471497,-0.0899499607786824,0.03635720482099891,0.0763852065307711,0.10148128205019273,0.0,0.04764680190631666,0.0761730384549225,0.02793334393844688,0.0763852065307711,0.0946436375124931,0.06793281839828644,0.0,0.0763852065307711,großer
transport groß+er,2.7474180612471497,-0.0899499607786824,0.03635720482099891,0.0763852065307711,0.10148128205019273,0.0,0.04764680190631666,0.0761730384549225,0.02793334393844688,0.0763852065307711,0.0946436375124931,0.06793281839828644,0.0,0.0763852065307711,transport groß+er
Mengen,2.7452573379707355,-0.09112222201564318,0.037143970187901734,0.07717197189767376,0.10226804741709558,0.0,0.04843356727321938,0.07695980382182528,0.028720109305349455,0.07717197189767376,0.09543040287939578,0.06871958376518929,0.0,0.07717197189767376,Mengen
groß+er menge+n,2.7452573379707355,-0.09112222201564318,0.037143970187901734,0.07717197189767376,0.10226804741709558,0.0,0.04843356727321938,0.07695980382182528,0.028720109305349455,0.07717197189767376,0.09543040287939578,0.06871958376518929,0.0,0.07717197189767376,groß+er menge+n
schwerer,2.7434312540141286,-0.09211544531302658,0.03780936921478376,0.07783737092455603,0.1029334464439776,0.0,0.049098966300101514,0.07762520284870729,0.02938550833223152,0.07783737092455603,0.09609580190627762,0.06938498279207128,0.0,0.07783737092455603,schwerer
menge+n schwer+er,2.7434312540141286,-0.09211544531302658,0.03780936921478376,0.07783737092455603,0.1029334464439776,0.0,0.049098966300101514,0.07762520284870729,0.02938550833223152,0.07783737092455603,0.09609580190627762,0.06938498279207128,0.0,0.07783737092455603,menge+n schwer+er
schwer+er gut+er,2.741166714088012,-0.09335036176178646,0.03863515081918651,0.07866315252895877,0.10375922804838032,0.0,0.04992474790450422,0.07845098445310995,0.03021128993663441,0.07866315252895877,0.09692158351068045,0.07021076439647404,0.0,0.07866315252895877,schwer+er gut+er
besonderer,2.7387535941183354,-0.09467023550705207,0.03951586440257297,0.07954386611234511,0.1046399416317667,0.0,0.05080546148789071,0.07933169803649633,0.03109200352002084,0.07954386611234511,0.09780229709406675,0.07109147797986048,0.0,0.07954386611234511,besonderer
gut+er besonder+er,2.7387535941183354,-0.09467023550705207,0.03951586440257297,0.07954386611234511,0.1046399416317667,0.0,0.05080546148789071,0.07933169803649633,0.03109200352002084,0.07954386611234511,0.09780229709406675,0.07109147797986048,0.0,0.07954386611234511,gut+er besonder+er
Bedeutung,2.7362156900564165,-0.09606275981200738,0.040442957911949406,0.08047095962172157,0.10556703514114314,0.0,0.051732554997266894,0.08025879154587282,0.03201909702939709,0.08047095962172157,0.09872939060344328,0.0720185714892368,0.0,0.08047095962172157,Bedeutung
besonder+er bedeutung,2.7362156900564165,-0.09606275981200738,0.040442957911949406,0.08047095962172157,0.10556703514114314,0.0,0.051732554997266894,0.08025879154587282,0.03201909702939709,0.08047095962172157,0.09872939060344328,0.0720185714892368,0.0,0.08047095962172157,besonder+er bedeutung
bedeutung sag+te,2.733575948512383,-0.09751597104740828,0.04140816533607035,0.08143616704584258,0.1065322425652642,0.0,0.05269776242138799,0.08122399896999383,0.032984304453518305,0.08143616704584258,0.09969459802756431,0.07298377891335796,0.0,0.08143616704584258,bedeutung sag+te
+2214,2.730856097470563,-0.09901844097395218,0.04240363979472959,0.08243164150450188,0.10752771702392336,0.0,0.0536932368800473,0.08221947342865303,0.03397977891217748,0.08243164150450188,0.10069007248622355,0.07397925337201722,0.0,0.08243164150450188,+2214
sag+te +2214,2.730856097470563,-0.09901844097395218,0.04240363979472959,0.08243164150450188,0.10752771702392336,0.0,0.0536932368800473,0.08221947342865303,0.03397977891217748,0.08243164150450188,0.10069007248622355,0.07397925337201722,0.0,0.08243164150450188,sag+te +2214
+2214 chars,2.7296465902614777,-0.09968827251531699,0.04284664194967163,0.0828746436594437,0.10797071917886542,0.0,0.0541362390349892,0.08266247558359506,0.034422781067119164,0.0828746436594437,0.10113307464116549,0.07442225552695901,0.0,0.0828746436594437,+2214 chars
dürre lockerung,3.1418535802323717,0.08137117914831159,-0.09779414928042438,-0.057766147570652154,-0.03267007205123056,0.0,-0.08650455219510661,-0.05797831564650088,-0.10621801016297673,-0.057766147570652154,-0.03950771658893039,-0.06621853570313681,0.0,-0.057766147570652154,dürre lockerung
Lkw-Fahrverboten,3.5463312426135243,0.19922945505513595,-0.2188948276719115,-0.1788668259621394,-0.15377075044271787,0.0,-0.20760523058659383,-0.17907899403798816,-0.2273186885544638,-0.1788668259621394,-0.1606083949804177,-0.18731921409462407,0.0,-0.1788668259621394,Lkw-Fahrverboten
lockerung lkw+-+fahr+verbot+en,3.5463312426135243,0.19922945505513595,-0.2188948276719115,-0.1788668259621394,-0.15377075044271787,0.0,-0.20760523058659383,-0.17907899403798816,-0.2273186885544638,-0.1788668259621394,-0.1606083949804177,-0.18731921409462407,0.0,-0.1788668259621394,lockerung lkw+-+fahr+verbot+en
Österreich,3.809563593652718,0.2571893550840274,-0.29049585157980806,-0.2504678498700361,-0.22537177435061426,0.0,-0.27920625449449044,-0.2506800179458848,-0.29891971246236043,-0.2504678498700361,-0.2322094188883142,-0.2589202380025206,0.0,-0.2504678498700361,Österreich
lkw+-+fahr+verbot+en österreich,3.1723287051436397,0.09185158984442277,-0.10744713684819132,-0.06741913513841916,-0.04232305961899757,0.0,-0.0961575397628736,-0.06763130321426798,-0.11587099773074347,-0.06741913513841916,-0.04916070415669734,-0.07587152327090384,0.0,-0.06741913513841916,lkw+-+fahr+verbot+en österreich
österreich derzeit,3.0428539730024715,0.04503770262303799,-0.06577709327328883,-0.025749091563516638,-0.0006530160440950614,0.0,-0.05448749618797101,-0.02596125963936536,-0.07420095415584102,-0.025749091563516638,-0.007490660581794835,-0.034201479696001284,0.0,-0.025749091563516638,österreich derzeit
derzeit thema,2.9570418429685086,0.010366310151957872,-0.03717060259997742,0.002857399109794642,0.027953474629216303,0.0,-0.025881005514659817,0.002645231033945869,-0.04559446348252955,0.002857399109794642,0.021115830091516453,-0.005594989022689911,0.0,0.002857399109794642,derzeit thema
